ciert,2.0
cifr,-2.0
cincel,-3.0
cinic,-2.0
cinism,-2.0
cinturon,2.0
circunspect,-3.0
cit,1.0
civil,1.0
clamor,4.0
clandestin,-3.0
clar,1.0
clas,2.0
clemenci,2.0
clement,2.0
cloqu,3.0
coaccion,-2.0
coart,-2.0
cobard,-2.0
coc,-3.0
cocador,2.0
coctel,-2.0
codici,-3.0
cofund,-1.0
cog,-3.0
cohib,-2.0
coj,-3.0
col,-2.0
colador,-2.0
color,1.0
column,2.0
colz,-4.0
comadr,-1.0
combat,-3.0
combatient,-3.0
combustion,-3.0
comedi,1.0
comic,1.0
comod,1.0
comodin,2.0
compañ,2.0
compadec,-3.0
compadr,-1.0
compart,1.0
compasion,2.0
competent,-3.0
complac,3.0
complacent,3.0
complic,-2.0
comprens,3.0
comprension,2.0
compresion,-4.0
comprim,-3.0
compromet,1.0
compromis,1.0
compulsion,-2.0
compuncion,-2.0
comput,-2.0
conc,1.0
concentr,1.0
concert,2.0
concesion,1.0
concili,1.0
concord,2.0
concusion,-2.0
cond,0.0
condecor,2.0
condenatori,-1.0
condicion,-1.0
condiment,-1.0
conduc,2.0
conf,2.0
confi,2.0
confiabil,2.0
confiabiliadd,2.0
confiabl,2.0
confianz,2.0
confident,2.0
confirm,1.0
confisc,2.0
conflict,-3.0
conform,-2.0
confort,1.0
confront,-3.0
confrontacion,-3.0
confund,-2.0
confundidor,-2.0
confus,-2.0
confusedness,-2.0
confusion,-2.0
confut,-3.0
congestion,1.0
congoj,-3.0
congratul,3.0
conjetur,-2.0
conjunt,2.0
conjur,-1.0
conmocion,-2.0
conmov,1.0
conmovedor,3.0
conoc,2.0
conquist,1.0
cons,2.0
consagr,3.0
consegu,2.0
consiguient,3.0
consist,-3.0
consistent,1.0
consol,1.0
constanci,2.0
constern,-3.0
constreñ,-2.0
constrist,-4.0
consuel,2.0
consum,-2.0
contend,-2.0
contenidod,-2.0
content,2.0
contiend,-2.0
contingent,-2.0
contorsion,-2.0
contr,-1.0
contrab,-2.0
contraband,-2.0
contraccion,-3.0
contradec,-2.0
contradiccion,-2.0
contradich,-2.0
contradictori,-2.0
contrari,-2.0
contrasent,-2.0
contrat,1.0
contratiemp,-3.0
contribu,2.0
contrist,-2.0
contumaci,-2.0
contumaz,-2.0
contundent,1.0
contusion,-3.0
conv,2.0
convenient,2.0
convincent,1.0
coñaz,-2.0
copi,-3.0
coquet,2.0
coraj,3.0
cordial,2.0
cornud,-3.0
corr,-2.0
corral,1.0
correct,2.0
correg,2.0
correspond,2.0
corret,2.0
corrobor,1.0
corromp,-2.0
corrupcion,-2.0
corrupt,-3.0
corruption,-2.0
cortej,4.0
cost,2.0
cotej,-3.0
cotill,-1.0
courag,3.0
credul,-2.0
creenci,2.0
creibl,3.0
cri,1.0
crianz,1.0
criatur,2.0
crim,-4.0
criminal,-4.0
crisis,-4.0
critic,-2.0
crudez,-2.0
cruel,-3.0
crueld,-4.0
cruelment,-3.0
cuac,-2.0
cubil,-3.0
cuc,2.0
cucharadit,-3.0
cucharill,-3.0
cucharit,-3.0
cuest,2.0
cuid,2.0
cul,-3.0
culp,-2.0
culpabil,-4.0
culpabl,-3.0
cult,2.0
cultiv,2.0
culturiz,2.0
cumpl,2.0
cumpliment,2.0
cumplimient,2.0
cuot,1.0
dañ,-3.0
dañin,-2.0
dadiv,2.0
